,Unnamed: 0,Country,Year,Coffee Consumption (kg per capita per year),Average Coffee Price (USD per kg),Type of Coffee Consumed,Population (millions)
0,0,Country_39,2023,9.25393898058043,6.467453002363636,Americano,65.92947787799916
1,1,Country_29,2011,9.981202707003789,4.346744038378242,Mocha,82.4566803256807
2,2,Country_15,2020,3.3129155167663225,8.76749607084824,Latte,110.93886185508131
3,3,Country_43,2005,2.436180471026238,11.748750027123547,Espresso,43.13720708676692
4,4,Country_8,2019,4.637848857169699,8.999098575256165,Mocha,65.48426225398772
5,5,Country_21,2004,5.693273446091323,9.059761448623924,Latte,119.11865996978378
6,6,Country_39,2022,3.638569976606836,11.367855453621516,Latte,138.46090217862474
7,7,Country_19,2008,4.411399294388468,6.798276891113539,Mocha,133.80712298443183
8,8,Country_23,2015,3.6069658855332616,12.270787708061752,Latte,72.16701186201222
9,9,Country_11,2021,8.19408454745961,5.684248839963068,Mocha,78.60900375331319
10,10,Country_11,2013,7.700623545978086,8.353256658145865,Latte,79.83671088067175
11,11,Country_24,2021,7.079612126087854,11.216089193180098,Latte,130.43861988641524
12,12,Country_36,2007,5.097742856633638,13.112059079532177,Latte,126.15098653376212
13,13,Country_40,2019,9.272327530513888,12.706841782815609,Mocha,47.418346753256415
14,14,Country_24,2018,9.75626033228016,11.938541592384675,Latte,25.26460372388325
15,15,Country_3,2013,3.389114501003296,7.950060218900301,Americano,57.46720966232314
16,16,Country_22,2006,3.784101131295024,5.345347479230963,Americano,43.97255110416077
17,17,Country_2,2004,6.205048224002957,6.3851763946228965,Americano,142.66632799742152
18,18,Country_24,2017,2.7300045542579623,13.513171960341335,Americano,40.62143623635909
19,19,Country_44,2001,5.491587190584903,13.430645071459256,Americano,27.9997955773134
20,20,Country_30,2010,6.654330118221681,14.467169377929174,Espresso,135.0223803213231
21,21,Country_38,2021,6.176588569098665,4.835875170850958,Latte,13.885312049054582
22,22,Country_2,2007,4.6472686646242085,9.904899938052017,Cappuccino,39.779641662542566
23,23,Country_21,2000,6.339566448617655,11.135513493946569,Espresso,66.42756790608767
24,24,Country_33,2021,9.670407634070784,11.817231147735423,Mocha,89.67099934579262
25,25,Country_12,2011,3.648139234331008,11.082495585114732,Espresso,49.82326155962264
26,26,Country_22,2001,7.238650867152029,12.470125288925102,Cappuccino,74.93886554122975
27,27,Country_44,2017,2.347173553248415,7.954187339182757,Espresso,30.62584677816037
28,28,Country_25,2006,2.5313312358514795,5.973760493490303,Latte,86.56684391359732
29,29,Country_49,2016,6.41462579378868,6.250417093654824,Americano,61.76470443366927
30,30,Country_27,2021,2.839513442623596,4.131765584171808,Latte,127.5396934029991
31,31,Country_42,2022,2.1787743074148587,7.853540593168446,Espresso,62.94438587490921
32,32,Country_28,2013,3.372103981184177,5.00918455967975,Cappuccino,67.12849726442549
33,33,Country_16,2023,6.518793367996596,7.5363756206921,Mocha,89.23407341201947
34,34,Country_15,2006,7.626727636151459,10.910310848828724,Latte,19.352330607464275
35,35,Country_47,2021,3.61982851313104,13.83925861145502,Cappuccino,24.36248132923588
36,36,Country_44,2002,7.346075497665396,13.23565996089568,Mocha,118.74542433685882
37,37,Country_3,2005,3.4598106487938347,6.779416331533346,Americano,41.73939809179251
38,38,Country_37,2019,6.907659413050057,5.474914564178516,Latte,103.01984241033996
39,39,Country_7,2001,5.295677439166391,6.123795011764044,Latte,15.516618526603118
40,40,Country_21,2016,7.230396074668934,14.680853170939676,Americano,123.45515238738396
41,41,Country_9,2011,9.960422019833976,10.0442192765404,Americano,148.2459885269246
42,42,Country_39,2011,9.502535721860497,6.007524453006323,Espresso,56.679950835959865
43,43,Country_18,2016,2.034254062688829,13.248207701554966,Mocha,76.3239851853196
44,44,Country_4,2009,9.083510114898443,8.347103687438103,Cappuccino,66.96408499613054
45,45,Country_25,2002,2.531926361398132,13.891443671722,Americano,134.2339745472145
46,46,Country_14,2019,9.62437268927876,6.867448395179352,Espresso,2.480171616835063
47,47,Country_50,2017,4.254605432797478,8.325439346846597,Mocha,98.36543885341158
48,48,Country_9,2012,5.056278643290168,9.55442539069093,Mocha,98.2028726477264
49,49,Country_26,2011,2.733105641405823,13.818768674979347,Latte,57.97536623639501
50,50,Country_2,2016,2.8981820666312768,13.556331747655614,Espresso,33.68071267543517
51,51,Country_20,2003,7.813924521834557,10.317905773342655,Espresso,36.71271953084032
52,52,Country_28,2022,9.554657885986334,6.439530607589798,Latte,120.26915406086978
53,53,Country_47,2009,6.885987959634476,8.436926689116627,Cappuccino,10.849361359868896
54,54,Country_7,2010,7.726800124214488,14.73196371902056,Americano,85.00979779487949
55,55,Country_44,2005,8.095757956777227,10.685505462651424,Latte,46.71924984376157
56,56,Country_8,2005,4.102514196423534,12.592075306366164,Americano,40.52192405777974
57,57,Country_47,2008,2.3618370473617194,8.948511648975618,Espresso,76.35491216412436
58,58,Country_35,2014,2.0149819513533487,9.85208003013487,Latte,134.78136443568528
59,59,Country_14,2001,4.805194263632149,8.718495234557984,Cappuccino,93.0956959365623
60,60,Country_17,2003,3.9317138255937287,11.732130978681647,Americano,118.5029835355432
61,61,Country_36,2004,2.498541800393485,13.36618115275565,Americano,90.50188311016926
62,62,Country_50,2016,3.436226339949334,9.580998975470198,Americano,104.95965120103835
63,63,Country_40,2007,2.9959911861435824,9.289542044998484,Espresso,65.42873967020105
64,64,Country_4,2007,9.319027044938965,7.743151138082366,Americano,138.9712636460194
65,65,Country_2,2021,3.1221377076733514,5.948063637234922,Mocha,75.78891404543498
66,66,Country_6,2011,6.3011877119014335,14.331724951626198,Americano,83.21442571478771
67,67,Country_42,2020,6.744847640897317,7.476876905474555,Espresso,79.21985998497259
68,68,Country_4,2007,6.34791566166907,12.80760609931714,Latte,48.11216400457285
69,69,Country_29,2018,2.792451473727904,11.868817234162217,Americano,35.454526904278666
70,70,Country_18,2002,4.55038689400441,12.70009360305942,Americano,12.001409653217696
71,71,Country_26,2017,2.410162659705226,14.304449467093129,Latte,108.00807231837976
72,72,Country_44,2020,5.165359312770528,10.85707836242987,Mocha,44.10201421238524
73,73,Country_34,2018,3.508791450172736,13.87745377720249,Espresso,58.99049651614547
74,74,Country_10,2018,6.493060266275038,5.844670552035231,Latte,138.06929624620568
75,75,Country_36,2014,7.542467150792804,10.893838335524665,Espresso,85.40065506236918
76,76,Country_14,2005,6.256958881637652,12.49503174206074,Latte,15.4646315216868
77,77,Country_31,2015,5.473893572891166,6.988052438185915,Cappuccino,120.1421750107536
78,78,Country_48,2007,5.098667366853539,12.148291814211614,Mocha,39.16345926730887
79,79,Country_15,2015,8.73353414477603,12.563245120278603,Cappuccino,83.35317055428119
80,80,Country_8,2017,3.754944520522161,13.143067516180892,Latte,76.9872397547346
81,81,Country_14,2019,7.873746716230951,7.441712038555261,Latte,36.47374751043022
82,82,Country_23,2015,8.059858597920952,11.4976724918514,Espresso,18.249884184392577
83,83,Country_40,2010,5.353600058165876,7.346786117507383,Latte,32.47797936775024
84,84,Country_21,2006,4.378404793805115,12.129444262483007,Espresso,15.503332135030874
85,85,Country_16,2016,5.764331888367802,9.092710316602837,Espresso,42.06857482386308
86,86,Country_45,2016,2.745711407141588,10.57298811979942,Latte,149.59732909988222
87,87,Country_18,2011,2.36744025783272,8.574239795736258,Espresso,60.911747520966
88,88,Country_47,2012,2.8928255956151343,5.781812196228067,Mocha,129.71937030891652
89,89,Country_24,2009,3.4971602516978093,5.958324825659,Cappuccino,82.82747612723016
90,90,Country_26,2006,6.033414562704344,4.853257979883479,Latte,100.3208788207262
91,91,Country_25,2013,8.793093089288977,10.79879947693828,Espresso,24.29584749283288
92,92,Country_45,2022,3.885138655997496,13.335022377483652,Espresso,41.94607424587434
93,93,Country_41,2000,9.481296085974224,4.229205088882891,Espresso,77.0560700313099
94,94,Country_29,2016,9.639263271480027,4.7286345229718885,Espresso,132.29037169979924
95,95,Country_15,2003,9.671236838761642,9.032136915332014,Mocha,7.390317346856085
96,96,Country_45,2020,8.700501877410591,12.114928097850084,Latte,76.53107397529241
97,97,Country_1,2004,4.910600326381765,5.7347840918314645,Latte,8.600819663756056
98,98,Country_25,2019,2.5814712880209845,6.988164515041133,Mocha,69.0665787909431
99,99,Country_7,2023,6.550549854131959,6.552068214099879,Mocha,94.70135574056287
100,100,Country_9,2022,6.46945155149787,8.389563405382695,Mocha,111.9637555228178
101,101,Country_24,2006,8.799806136876764,6.474985447193283,Latte,21.64126878383338
102,102,Country_1,2009,9.96792840756884,7.878585463992283,Americano,25.819717235740864
103,103,Country_44,2016,6.065258452481181,12.013968585281386,Cappuccino,71.0396733320768
104,104,Country_8,2006,4.761632248318274,10.72110173299608,Mocha,149.70743223888203
105,105,Country_24,2000,3.487213692450136,4.892998759308622,Mocha,54.05097851285775
106,106,Country_11,2006,2.038398598538966,11.015202328702896,Latte,64.70158667707364
107,107,Country_17,2023,6.072909539911033,9.24784888715135,Latte,65.43456467936818
108,108,Country_8,2010,6.444149333620766,14.280221321778528,Cappuccino,13.02442238220722
109,109,Country_35,2008,8.599507838539179,7.182347488144586,Espresso,116.3516496482093
110,110,Country_35,2011,6.036615743142405,11.98783061669076,Latte,38.71212713949001
111,111,Country_33,2002,9.331746789328452,12.039469053490269,Cappuccino,105.84639147555508
112,112,Country_5,2003,7.024667812571484,6.436508591101061,Latte,71.78839194650301
113,113,Country_42,2003,8.722689905768664,13.935459874680298,Latte,92.15518159068822
114,114,Country_39,2012,3.186413878461977,9.403015204725634,Latte,9.041773837754445
115,115,Country_41,2022,8.842689042418517,11.467717035782329,Americano,133.60488697806835
116,116,Country_28,2018,7.401150835550787,5.60441114771855,Americano,37.33465864353729
117,117,Country_7,2009,3.3618642595066444,6.8358430869116615,Mocha,100.8442127376247
118,118,Country_9,2004,3.518108465168087,10.447178297309453,Americano,119.9048476978581
119,119,Country_8,2006,9.41200495235377,7.509299952106844,Cappuccino,81.46576887519636
120,120,Country_12,2023,2.257722883602983,9.496622104280709,Latte,51.262769289715
121,121,Country_34,2015,5.700279546365649,8.11405719310618,Americano,146.70760279768044
122,122,Country_33,2000,4.5078023194728125,11.046091763084528,Latte,42.487517277333644
123,123,Country_48,2011,7.320619519987424,9.3585989905889,Espresso,142.3506882313673
124,124,Country_23,2001,8.717035100551936,4.05070929570485,Mocha,24.277395919025032
125,125,Country_24,2006,4.8830249724525565,11.146489217399225,Americano,58.99409759682919
126,126,Country_37,2010,5.4152166985826975,8.643337127551998,Latte,21.63584203794803
127,127,Country_35,2012,9.855342276011314,7.758681745392451,Espresso,1.333830487980706
128,128,Country_44,2001,8.271332077433623,5.035614275115459,Mocha,39.77852251907476
129,129,Country_40,2006,9.177633047454332,6.424066596231406,Mocha,13.994349736924253
130,130,Country_22,2014,5.510097765213038,6.461495207389388,Espresso,147.96548294046173
131,131,Country_27,2010,3.8726096318729217,14.28906449345202,Americano,114.4863443748186
132,132,Country_35,2001,5.2949077230916135,8.757642722212015,Americano,1.552014651979314
133,133,Country_1,2006,7.728735342652108,4.46272431936687,Latte,34.32334113871523
134,134,Country_35,2003,2.8754432386878346,5.526983504676529,Cappuccino,100.84851195127382
135,135,Country_37,2010,4.163752844932071,4.869359433062033,Latte,60.38426486154842
136,136,Country_47,2001,2.373087203692723,10.477563292279324,Latte,124.94454189358989
137,137,Country_14,2015,5.4587819067050525,6.052836407235094,Latte,76.22425597798401
138,138,Country_3,2006,8.619565887836906,9.484134043099536,Espresso,98.39406154013194
139,139,Country_1,2012,2.1973095063840864,8.070682691569731,Mocha,89.95857224157761
140,140,Country_5,2004,7.402588214457328,12.842640148586192,Mocha,96.08716619292152
141,141,Country_26,2016,9.459966996109916,7.525386009918985,Cappuccino,35.28472922024984
142,142,Country_14,2020,3.895422892089458,9.040920306364892,Americano,56.62012644172256
143,143,Country_39,2011,7.549078725821185,11.934141034576085,Latte,8.543758676809215
144,144,Country_27,2018,9.800815208801602,8.766863276237032,Espresso,88.55784068854311
145,145,Country_9,2006,9.698224481219706,12.72537089614508,Espresso,69.42951084929057
146,146,Country_15,2005,3.879433544233146,11.278527918603311,Latte,114.34670620384176
147,147,Country_15,2007,2.8026484256965496,8.515820253413876,Espresso,31.75098722862468
148,148,Country_26,2012,3.186260303167328,9.54380118254999,Espresso,66.08500529410247
149,149,Country_42,2004,7.616285347857137,14.639238014264128,Latte,27.931069525550548
150,150,Country_13,2001,7.806071003626204,11.277726461592316,Cappuccino,92.48290456201786
151,151,Country_32,2008,7.393892493025592,13.954947485695572,Espresso,127.35650822020636
152,152,Country_39,2010,4.688627101937905,5.966343538181708,Mocha,115.05104401889876
153,153,Country_49,2023,3.358215518064977,9.315597718696672,Mocha,141.68549792200218
